	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
13	118.886917,42.269343	海贝尔游乐城	松山区	赤峰市	B01DC0J06G	[]	欢乐世界	内蒙古自治区	[]	体育休闲服务;娱乐场所;游戏厅	080305	118.886917	42.269343	欢乐世界
14	114.126637,22.546401	湖贝路2014号附近	罗湖区	深圳市	B0FFH5FAQA	[]	欢乐世界	广东省	0755-82259802;0755-82207133	体育休闲服务;影剧院;剧场	080603	114.126637	22.546401	欢乐世界
15	101.724604,26.578028	东区湖光东街41号	东区	攀枝花市	B0FFI2BSTB	[]	欢乐世界	四川省	0812-3885777	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	101.724604	26.578028	欢乐世界
16	121.564467,31.152736	北蔡镇沪南路2472号	浦东新区	上海市	B0FFHQREQJ	[]	欢乐世界	上海市	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	121.564467	31.152736	欢乐世界
17	119.390535,26.247443	潘渡乡贵安新天地	连江县	福州市	B0FFGXGNPO	[]	欢乐世界	福建省	[]	体育休闲服务;休闲场所;游乐场	080501	119.390535	26.247443	欢乐世界
18	112.205405,31.069995	金龙泉大道陡沟附近	东宝区	荆门市	B0FFHN76OI	[]	欢乐世界	湖北省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	112.205405	31.069995	欢乐世界
19	110.850861,21.678246	油城一路东50米	茂南区	茂名市	B0FFGZT1MY	[]	欢乐世界	广东省	[]	体育休闲服务;休闲场所;游乐场	080501	110.850861	21.678246	欢乐世界
20	125.934577,41.706787	中东城市广场通化店2层	东昌区	通化市	B0FFFFE0YT	[]	欢乐世界	吉林省	0435-3578123;15943506867	体育休闲服务;休闲场所;游乐场	080501	125.934577	41.706787	欢乐世界
21	112.917179,28.086101	[]	岳麓区	长沙市	B0FFG88044	[]	欢乐世界	湖南省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	112.917179	28.086101	欢乐世界
22	125.395076,43.859538	东环城路9889号东环不夜城1层	二道区	长春市	B01AF119WY	[]	欢乐世界	吉林省	[]	体育休闲服务;娱乐场所;游戏厅	080305	125.395076	43.859538	欢乐世界
23	109.438366,36.621465	马海龙枣园公园	宝塔区	延安市	B0FFG3EPSI	[]	欢乐世界	陕西省	0911-8066592	体育休闲服务;休闲场所;游乐场	080501	109.438366	36.621465	欢乐世界
24	129.617200,44.581519	西平安街11号	西安区	牡丹江市	B0FFFONB2B	[]	欢乐世界	黑龙江省	[]	购物服务;购物相关场所;购物相关场所	060000	129.617200	44.581519	欢乐世界
25	113.749592,22.782176	长安镇上沙社区中南广场三楼	东莞市	东莞市	B0FFFRZ2OH	[]	欢乐世界(新风路)	广东省	[]	体育休闲服务;娱乐场所;娱乐场所	080300	113.749592	22.782176	欢乐世界
26	118.001208,37.381216	渤海十路719号银座商城B1层	滨城区	滨州市	B0FFHUNJXZ	[]	欢乐世界(银座商城)	山东省	[]	生活服务;维修站点;维修站点	071200	118.001208	37.381216	欢乐世界
27	120.613607,32.339645	[]	如皋市	南通市	B0FFHW8DH4	[]	欢乐世界(东门)	江苏省	[]	通行设施;临街院门;临街院门	991400	120.613607	32.339645	欢乐世界
28	116.963748,33.665166	人民路三角洲生态公园北门	埇桥区	宿州市	B0FFFSY6V7	[]	宿州欢乐世界	安徽省	15922488669	体育休闲服务;休闲场所;游乐场	080501	116.963748	33.665166	欢乐世界
29	120.761913,30.828843	奥星路185号	秀洲区	嘉兴市	B0FFGCZGSJ	[]	嘉兴欢乐世界	浙江省	[]	体育休闲服务;休闲场所;游乐场	080501	120.761913	30.828843	欢乐世界
30	117.188669,39.146200	大胡同街道北马路23号(天津眼睛城3楼)	红桥区	天津市	B0FFH1U14K	[]	红桥欢乐世界	天津市	[]	体育休闲服务;娱乐场所;娱乐场所	080300	117.188669	39.146200	欢乐世界
31	125.368795,43.932286	长新街与远达大街交汇欧亚购物中心二楼	二道区	长春市	B0FFHHZ72Q	[]	威鲸欢乐世界	吉林省	17790009167	体育休闲服务;休闲场所;游乐场	080501	125.368795	43.932286	欢乐世界
32	125.424220,43.879107	经济技术开发区吉林大路与洋浦大街交汇欧亚万豪购物中心三楼	南关区	长春市	B0FFHDAR50	[]	威鲸欢乐世界	吉林省	[]	体育休闲服务;休闲场所;游乐场	080501	125.424220	43.879107	欢乐世界
33	113.464725,31.678998	[]	曾都区	随州市	B0FFI10187	[]	随州欢乐世界	湖北省	0722-7606318;0722-7606328	体育休闲服务;休闲场所;游乐场	080501	113.464725	31.678998	欢乐世界
34	122.100327,46.066915	欧亚广场3楼	乌兰浩特市	兴安盟	B0FFGOT3LS	[]	威鲸欢乐世界	内蒙古自治区	[]	体育休闲服务;娱乐场所;娱乐场所	080300	122.100327	46.066915	欢乐世界
35	117.515857,30.649423	人民路与平天湖大道交叉口红旗农场三连向西10米	贵池区	池州市	B0FFHIKHXX	[]	池州欢乐世界	安徽省	18656665637;13801631894	体育休闲服务;休闲场所;游乐场	080501	117.515857	30.649423	欢乐世界
36	124.807325,45.148859	经济技术开发区(特殊乡镇)松原市经济开发区4799号欧亚购物中心3楼	宁江区	松原市	B0FFGCPA9N	[]	威鲸欢乐世界	吉林省	[]	体育休闲服务;休闲场所;游乐场	080501	124.807325	45.148859	欢乐世界
37	122.827872,45.597123	吉鹤广场与胜利西路交汇欧亚购物中心3层	洮北区	白城市	B01B40M82H	[]	威鲸欢乐世界	吉林省	13384361992;18904368853	体育休闲服务;休闲场所;游乐场	080501	122.827872	45.597123	欢乐世界
38	115.273546,24.100035	老隆镇205国道农业科学研究所	龙川县	河源市	B0FFH9B8E3	[]	新兴欢乐世界	广东省	[]	购物服务;专卖店;儿童用品店	061207	115.273546	24.100035	欢乐世界
39	111.380968,30.640857	共谊一路(东站路求索众创中心北行200米路东)	伍家岗区	宜昌市	B0FFHSQMJ2	[]	宜昌欢乐世界	湖北省	0717-6693388	风景名胜;风景名胜相关;旅游景点	110000	111.380968	30.640857	欢乐世界
40	115.930620,31.736950	江店经济开发区红土地纺织有限公司院内	金寨县	六安市	B0FFICYH23	[]	金寨欢乐世界	安徽省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	115.930620	31.736950	欢乐世界
41	125.142211,42.910151	东星山语城欧亚和宁超市	西安区	辽源市	B0FFGZ7NE8	[]	威鲸欢乐世界	吉林省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	125.142211	42.910151	欢乐世界
42	125.117511,42.897800	民营经济开发区辽源市经济开发区欧亚购物中心五楼	龙山区	辽源市	B0FFF2TLOJ	[]	威鲸欢乐世界	吉林省	0437-5011056	体育休闲服务;娱乐场所;娱乐场所	080300	125.117511	42.897800	欢乐世界
43	115.238210,24.091365	[]	龙川县	河源市	B0FFHT6JKG	[]	龙川欢乐世界	广东省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	115.238210	24.091365	欢乐世界
44	116.110082,23.263882	324国道旁(池尾高速路口往广州方向1公里)	普宁市	揭阳市	B0FFHI1025	[]	普宁市欢乐世界	广东省	18825051009	体育休闲服务;休闲场所;游乐场	080501	116.110082	23.263882	欢乐世界
45	122.263471,43.595246	建国街道欧亚三楼	科尔沁区	通辽市	B0FFHIV99Y	[]	威鲸欢乐世界	内蒙古自治区	[]	体育休闲服务;娱乐场所;娱乐场所	080300	122.263471	43.595246	欢乐世界
46	126.038982,42.949944	经济开发区欧亚购物中心三楼	磐石市	吉林市	B0FFH37ZZE	[]	威鲸欢乐世界	吉林省	[]	体育休闲服务;休闲场所;游乐场	080501	126.038982	42.949944	欢乐世界
47	125.936816,41.708024	江沿路888号附近	东昌区	通化市	B0FFHS444Z	[]	威鲸欢乐世界	吉林省	[]	体育休闲服务;休闲场所;游乐场	080501	125.936816	41.708024	欢乐世界
48	109.431660,36.622901	枣园路中段	宝塔区	延安市	B038F0NTG6	[]	欢乐园	陕西省	[]	风景名胜;公园广场;公园	110101	109.431660	36.622901	欢乐世界
49	114.133260,28.056241	株铁线与310省道交叉口北100米	万载县	宜春市	B031B0OOEP	[]	欢乐园	江西省	[]	科教文化服务;学校;幼儿园	141204	114.133260	28.056241	欢乐世界
50	121.510436,31.229339	商城路297号申金大厦35层	浦东新区	上海市	B0FFFHBWK7	[]	欢乐园	上海市	[]	体育休闲服务;休闲场所;游乐场	080501	121.510436	31.229339	欢乐世界
51	119.308231,26.133945	新店镇秀山路198号绿园明居(源达小区二期)4号楼店面	晋安区	福州市	B0FFHSAQJJ	[]	欢乐园	福建省	[]	生活服务;洗浴推拿场所;洗浴推拿场所	071400	119.308231	26.133945	欢乐世界
52	114.194409,22.718155	游乐场内	东莞市	东莞市	B0FFHWRQKT	[]	欢乐园	广东省	[]	体育休闲服务;休闲场所;游乐场	080501	114.194409	22.718155	欢乐世界
53	113.446774,34.672317	洞林路与032县道交叉口南200米	荥阳市	郑州市	B0FFHEMFI4	[]	欢乐园	河南省	[]	体育休闲服务;休闲场所;游乐场	080501	113.446774	34.672317	欢乐世界
54	117.648086,24.506883	钟法路华侨新村25号	芗城区	漳州市	B0FFFOFS46	[]	欢乐园	福建省	13015628888	餐饮服务;中餐厅;中餐厅	050100	117.648086	24.506883	欢乐世界
55	118.190594,24.481255	软件园二期望海陆67号189楼	思明区	厦门市	B0FFFDP22U	[]	欢乐园	福建省	[]	体育休闲服务;休闲场所;游乐场	080501	118.190594	24.481255	欢乐世界
56	119.018871,25.438581	正荣时代广场	荔城区	莆田市	B0FFFF4CAH	[]	欢乐园	福建省	0594-2186668	体育休闲服务;休闲场所;游乐场	080501	119.018871	25.438581	欢乐世界
57	120.682227,31.293462	园区星州街城邦商业街B区二楼	吴中区	苏州市	B0FFHYQPNF	[]	欢乐园	江苏省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	120.682227	31.293462	欢乐世界
58	112.504898,23.055830	市场街与建设一路交叉口东南50米	端州区	肇庆市	B0FFGCN8VS	[]	欢乐园	广东省	[]	购物服务;专卖店;儿童用品店	061207	112.504898	23.055830	欢乐世界
59	104.744699,31.770265	文化街与青龙街交叉口东南50米	江油市	绵阳市	B0FFG4AOPO	[]	欢乐园	四川省	[]	购物服务;专卖店;儿童用品店	061207	104.744699	31.770265	欢乐世界
60	114.194409,22.718155	游乐场内	东莞市	东莞市	B0FFHWRQKT	[]	欢乐园	广东省	[]	体育休闲服务;休闲场所;游乐场	080501	114.194409	22.718155	欢乐世界
61	113.446774,34.672317	洞林路与032县道交叉口南200米	荥阳市	郑州市	B0FFHEMFI4	[]	欢乐园	河南省	[]	体育休闲服务;休闲场所;游乐场	080501	113.446774	34.672317	欢乐世界
62	117.648086,24.506883	钟法路华侨新村25号	芗城区	漳州市	B0FFFOFS46	[]	欢乐园	福建省	13015628888	餐饮服务;中餐厅;中餐厅	050100	117.648086	24.506883	欢乐世界
63	118.190594,24.481255	软件园二期望海陆67号189楼	思明区	厦门市	B0FFFDP22U	[]	欢乐园	福建省	[]	体育休闲服务;休闲场所;游乐场	080501	118.190594	24.481255	欢乐世界
64	119.018871,25.438581	正荣时代广场	荔城区	莆田市	B0FFFF4CAH	[]	欢乐园	福建省	0594-2186668	体育休闲服务;休闲场所;游乐场	080501	119.018871	25.438581	欢乐世界
65	120.682227,31.293462	园区星州街城邦商业街B区二楼	吴中区	苏州市	B0FFHYQPNF	[]	欢乐园	江苏省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	120.682227	31.293462	欢乐世界
66	112.504898,23.055830	市场街与建设一路交叉口东南50米	端州区	肇庆市	B0FFGCN8VS	[]	欢乐园	广东省	[]	购物服务;专卖店;儿童用品店	061207	112.504898	23.055830	欢乐世界
67	104.744699,31.770265	文化街与青龙街交叉口东南50米	江油市	绵阳市	B0FFG4AOPO	[]	欢乐园	四川省	[]	购物服务;专卖店;儿童用品店	061207	104.744699	31.770265	欢乐世界
68	116.175241,24.657101	蕉城镇新东北路45号	蕉岭县	梅州市	B0FFH6WAC8	[]	欢乐园	广东省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	116.175241	24.657101	欢乐世界
69	120.859054,31.113455	周庄镇富贵园东庄停车场东边50米左右	昆山市	苏州市	B02000K06Z	[]	周庄欢乐世界	江苏省	0512-57216066	体育休闲服务;休闲场所;游乐场	080501	120.859054	31.113455	欢乐世界
70	112.334783,22.319056	良西镇新松里	恩平市	江门市	B0FFHW736A	[]	花海欢乐世界	广东省	0750-7188888;0750-7111888	风景名胜;风景名胜相关;旅游景点	110000	112.334783	22.319056	欢乐世界
71	105.729988,28.582897	赤天化宾馆东南	赤水市	遵义市	B0FFGL09PX	[]	欢乐世界乐园	贵州省	[]	体育休闲服务;休闲场所;游乐场	080501	105.729988	28.582897	欢乐世界
72	117.223538,39.099447	大沽南路龙云国际影城2楼	河西区	天津市	B0FFGMML7Z	[]	龙云欢乐世界	天津市	[]	体育休闲服务;休闲场所;游乐场	080501	117.223538	39.099447	欢乐世界
73	117.195558,39.101857	西康路72号云翔大厦	和平区	天津市	B001616649	[]	风城欢乐世界	天津市	[]	体育休闲服务;娱乐场所;娱乐场所	080300	117.195558	39.101857	欢乐世界
74	113.298319,40.053557	上悦城五楼游戏厅	城区	大同市	B0FFHOWB1N	[]	万利欢乐世界	山西省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	113.298319	40.053557	欢乐世界
75	117.030546,25.094938	麒丰百货负1层	新罗区	龙岩市	B02550OSA2	[]	金龙欢乐世界	福建省	18850805980	购物服务;服装鞋帽皮具店;服装鞋帽皮具店	061100	117.030546	25.094938	欢乐世界
76	117.217010,39.061928	友谊南路凤水园B2区2-12	河西区	天津市	B0FFI6GXXH	[]	梅江欢乐世界	天津市	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	117.217010	39.061928	欢乐世界
77	105.081851,29.538352	[]	市中区	内江市	B0FFIF3E87	[]	大千欢乐世界	四川省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	105.081851	29.538352	欢乐世界
78	117.302492,31.863723	长江东路1137号安徽圣大国际商贸中心1层	瑶海区	合肥市	B02270JKMX	[]	大白欢乐世界	安徽省	[]	体育休闲服务;娱乐场所;游戏厅	080305	117.302492	31.863723	欢乐世界
79	115.994533,29.872195	龙感湖工业园区龙感湖管理区	黄梅县	黄冈市	B0FFHZOKQK	[]	龙腾欢乐世界	湖北省	18170026731;0713-3510285	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	115.994533	29.872195	欢乐世界
80	111.593597,25.439017	两河口村村207国道旁	道县	永州市	B0FFHT70C1	[]	道州欢乐世界	湖南省	[]	体育休闲服务;休闲场所;游乐场	080501	111.593597	25.439017	欢乐世界
81	120.334255,31.564164	广南路23-1号	新吴区	无锡市	B01FE0K7H7	[]	新盛欢乐世界	江苏省	[]	体育休闲服务;娱乐场所;游戏厅	080305	120.334255	31.564164	欢乐世界
82	118.124794,33.822140	永昌路南50米	睢宁县	徐州市	B0FFHP2OQF	[]	银河欢乐世界	江苏省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	118.124794	33.822140	欢乐世界
83	102.359283,29.232280	滨河路三段541号附近	石棉县	雅安市	B0FFIA8IWA	[]	欢乐世界KTV	四川省	[]	体育休闲服务;娱乐场所;KTV	080302	102.359283	29.232280	欢乐世界
84	117.515900,30.649076	8路	贵池区	池州市	BV10927298	[]	池州欢乐世界(公交站)	安徽省	[]	交通设施服务;公交车站;公交车站相关	150700	117.515900	30.649076	欢乐世界
85	118.727811,32.137600	大桥北路60号	浦口区	南京市	B001914B10	[]	弘阳·欢乐世界(东南门)	江苏省	[]	通行设施;临街院门;临街院正门	991401	118.727811	32.137600	欢乐世界
86	111.325515,27.722591	友阿世茂商业广场B1层	新化县	娄底市	B0FFGD0PHO	[]	欢乐世界乐园(友阿世茂店)	湖南省	[]	体育休闲服务;休闲场所;游乐场	080501	111.325515	27.722591	欢乐世界
87	118.727936,32.138062	G328(大桥北路)	浦口区	南京市	B0FFH95S1B	[]	弘阳·欢乐世界(东3门)	江苏省	[]	通行设施;临街院门;临街院门	991400	118.727936	32.138062	欢乐世界
88	118.727875,32.138410	大桥北路60号附近	浦口区	南京市	B0FFH95SP8	[]	弘阳·欢乐世界(东2门)	江苏省	[]	通行设施;临街院门;临街院门	991400	118.727875	32.138410	欢乐世界
89	118.727845,32.138648	大桥北路60号附近	浦口区	南京市	B0FFH95RVT	[]	弘阳·欢乐世界(东1门)	江苏省	[]	通行设施;临街院门;临街院门	991400	118.727845	32.138648	欢乐世界
90	118.727986,32.137557	大桥北路48号	浦口区	南京市	B0FFH95YAY	[]	弘阳·欢乐世界(西南门)	江苏省	[]	通行设施;临街院门;临街院正门	991401	118.727986	32.137557	欢乐世界
91	106.640917,26.670524	白云南路483号	白云区	贵阳市	B03530P08K	[]	贵阳欢乐世界	贵州省	0851-84862777	体育休闲服务;休闲场所;游乐场	080501	106.640917	26.670524	欢乐世界
92	113.043437,23.685639	凤鸣路与学前街交叉口东南50米	清城区	清远市	B0FFFT31ZZ	[]	欢乐世界网络会所	广东省	[]	体育休闲服务;娱乐场所;网吧	080308	113.043437	23.685639	欢乐世界
93	113.775582,23.037500	东纵大道东湖花园商城3层	东莞市	东莞市	B0FFI80ESD	[]	儿童欢乐世界	广东省	[]	体育休闲服务;休闲场所;游乐场	080501	113.775582	23.037500	欢乐世界
94	120.547979,31.292483	金山路87号苏州乐园欢乐世界内	虎丘区	苏州市	B0FFFSRPPC	[]	欢乐世界游客(入口)	江苏省	[]	风景名胜;风景名胜相关;旅游景点	110000	120.547979	31.292483	欢乐世界
95	117.039196,36.674487	青龙后街2-1号老东门万货汇时尚购物广场3层	历下区	济南市	B0FFG9XV2Q	[]	老东门欢乐世界	山东省	[]	风景名胜;风景名胜相关;旅游景点	110000	117.039196	36.674487	欢乐世界
96	120.548065,31.292250	金山路87号苏州乐园欢乐世界	虎丘区	苏州市	B0FFFSRPAI	[]	欢乐世界医务室	江苏省	[]	医疗保健服务;诊所;诊所	090300	120.548065	31.292250	欢乐世界
97	118.777549,32.001796	雨花路215号南京雨花台风景区游乐活动区	雨花台区	南京市	B0FFH8NPIO	[]	儿童欢乐世界	江苏省	[]	体育休闲服务;休闲场所;游乐场	080501	118.777549	32.001796	欢乐世界
98	120.547819,31.292558	德国街与荷兰街交叉口东北150米	虎丘区	苏州市	B0FFFOR0HV	[]	欢乐世界游客(出口)	江苏省	[]	交通设施服务;交通服务相关;交通服务相关	150000	120.547819	31.292558	欢乐世界
99	115.940509,28.657103	上海南路677号附近	青山湖区	南昌市	B0FFHQPWQE	[]	儿童欢乐世界	江西省	[]	体育休闲服务;休闲场所;游乐场	080501	115.940509	28.657103	欢乐世界
100	117.081932,31.040517	孔城镇桐枞路228省道孔城初中向下500米	桐城市	安庆市	B0FFIFP204	[]	儿童欢乐世界	安徽省	[]	体育休闲服务;休闲场所;游乐场	080501	117.081932	31.040517	欢乐世界
101	112.006629,27.727330	长青街万豪负二楼	娄星区	娄底市	B0FFHJWXSE	[]	儿童欢乐世界	湖南省	[]	体育休闲服务;体育休闲服务场所;体育休闲服务场所	080000	112.006629	27.727330	欢乐世界
102	116.547989,31.773022	19路	金安区	六安市	BV10495235	[]	金领欢乐世界(公交站)	安徽省	[]	交通设施服务;公交车站;公交车站相关	150700	116.547989	31.773022	欢乐世界
103	118.453253,31.667877	117路;118路	雨山区	马鞍山市	BV10433815	[]	滨江欢乐世界(公交站)	安徽省	[]	交通设施服务;公交车站;公交车站相关	150700	118.453253	31.667877	欢乐世界
104	104.541370,30.406658	雄州大道南段	简阳市	成都市	B0FFH4OTIY	[]	盒家欢乐世界	四川省	18188482132;15196815865	体育休闲服务;休闲场所;游乐场	080501	104.541370	30.406658	欢乐世界
105	113.365852,40.063316	42路;61路	南郊区	大同市	BV10600312	[]	方特欢乐世界(公交站)	山西省	[]	交通设施服务;公交车站;公交车站相关	150700	113.365852	40.063316	欢乐世界
106	98.347191,39.751671	9路;12路	嘉峪关市	嘉峪关市	BV10587564	[]	方特欢乐世界(公交站)	甘肃省	[]	交通设施服务;公交车站;公交车站相关	150700	98.347191	39.751671	欢乐世界
107	117.193207,36.235561	7路/K7路;7路校车;37路/K37路;65路/K65路;210路;230路	泰山区	泰安市	BV10166663	[]	方特欢乐世界(公交站)	山东省	[]	交通设施服务;公交车站;公交车站相关	150700	117.193207	36.235561	欢乐世界
108	120.234566,33.384167	B支6路	亭湖区	盐城市	BV10504007	[]	卡迪欢乐世界(公交站)	江苏省	[]	交通设施服务;公交车站;公交车站相关	150700	120.234566	33.384167	欢乐世界
109	113.325737,22.991749	广州南站-增城线	番禺区	广州市	BV10475888	[]	长隆欢乐世界(公交站)	广东省	[]	交通设施服务;公交车站;公交车站相关	150700	113.325737	22.991749	欢乐世界
110	108.915883,34.471644	乐华城-咸阳火车站;咸阳火车站-乐华城	泾阳县	咸阳市	BV10745581	[]	乐华欢乐世界(公交站)	陕西省	[]	交通设施服务;公交车站;公交车站相关	150700	108.915883	34.471644	欢乐世界
111	120.822807,32.350279	双甸镇广隆花园1-1商铺	如东县	南通市	B0FFH2Z4XZ	[]	儿童欢乐世界	江苏省	[]	体育休闲服务;娱乐场所;娱乐场所	080300	120.822807	32.350279	欢乐世界
112	112.723582,28.504157	雷锋北大道与101省道交叉口东北100米	望城区	长沙市	B0FFFY4XTA	[]	儿童欢乐世界	湖南省	[]	体育休闲服务;休闲场所;游乐场	080501	112.723582	28.504157	欢乐世界
113	120.640598,31.385408	开发区依福园路88号	相城区	苏州市	B02000JUUK	[]	欢乐世界电玩城	江苏省	[]	体育休闲服务;娱乐场所;游戏厅	080305	120.640598	31.385408	欢乐世界
114	120.548027,31.292226	金山路87号苏州乐园欢乐世界	虎丘区	苏州市	B0FFFSRPCC	[]	欢乐世界售票处	江苏省	[]	生活服务;售票处;售票处	070300	120.548027	31.292226	欢乐世界
115	119.398781,26.246466	贵安新天地贵安欢乐世界内	连江县	福州市	B0FFG98OD7	[]	欢乐世界停车场	福建省	[]	交通设施服务;停车场;公共停车场	150904	119.398781	26.246466	欢乐世界
116	117.356070,31.867830	长江东路229号漕冲大厦1-2层	瑶海区	合肥市	B0FFHJG40O	[]	欢乐世界电玩城	安徽省	[]	体育休闲服务;娱乐场所;游戏厅	080305	117.356070	31.867830	欢乐世界
117	113.368119,23.183579	天源路1190号华南植物园	天河区	广州市	B00141UAWE	[]	欢乐世界游乐中心	广东省	13533115954	体育休闲服务;休闲场所;游乐场	080501	113.368119	23.183579	欢乐世界
118	121.330893,31.347632	马陆镇宝安公路2442号	嘉定区	上海市	B0FFFE6LL5	[]	欢乐世界游艺城	上海市	[]	体育休闲服务;娱乐场所;游戏厅	080305	121.330893	31.347632	欢乐世界
119	113.368258,23.183221	天源路1190号华南植物园欢乐世界内	天河区	广州市	B0FFG1Z21W	[]	欢乐世界小卖部	广东省	[]	购物服务;便民商店/便利店;便民商店/便利店	060200	113.368258	23.183221	欢乐世界
120	113.330424,22.999298	大石镇番禺大道与汉溪大道交汇处长隆旅游度假村内	番禺区	广州市	B00140H7SM	[]	长隆欢乐世界	广东省	020-39932888	体育休闲服务;休闲场所;游乐场	080501	113.330424	22.999298	欢乐世界
121	113.714255,34.721599	航海东路170号附近	管城回族区	郑州市	B0FFHQN5QI	[]	欢乐世界动漫城	河南省	[]	体育休闲服务;娱乐场所;游戏厅	080305	113.714255	34.721599	欢乐世界
122	113.368315,23.183142	天源路1190号华南植物园欢乐世界	天河区	广州市	B0FFFXFB7H	[]	欢乐世界售票处	广东省	[]	生活服务;售票处;公园景点售票处	070306	113.368315	23.183142	欢乐世界
123	118.378003,31.377659	银湖北路80号	镜湖区	芜湖市	B02290HUDC	[]	方特欢乐世界	安徽省	15395366666;0553-2295211	风景名胜;风景名胜;国家级景点	110202	118.378003	31.377659	欢乐世界
124	114.061624,22.968538	常平镇司马村东深路108号健汇农庄内(即珠江啤酒厂侧/骏马花园对面)	东莞市	东莞市	B0FFH71A7C	[]	金竹湾欢乐世界	广东省	0769-38850866	体育休闲服务;休闲场所;水上活动中心	080505	114.061624	22.968538	欢乐世界
125	102.714144,25.051175	青年路119号昆明动物园游客中心2楼圆通山动物园售票中心对面	五华区	昆明市	B0FFH6VMI5	[]	摩西欢乐世界	云南省	13368846774	体育休闲服务;娱乐场所;酒吧	080304	102.714144	25.051175	欢乐世界
126	120.252150,29.672131	欢乐世界路与商城路交叉口	诸暨市	绍兴市	B0FFG59VC5	[]	欢乐世界展示中心	浙江省	0575-87995999	科教文化服务;展览馆;展览馆	140200	120.252150	29.672131	欢乐世界
127	122.230951,29.977148	临城街道海力生路世豪酒店东北50米	定海区	舟山市	B024464W6I	[]	丹弗龙欢乐世界	浙江省	[]	体育休闲服务;娱乐场所;娱乐场所	080300	122.230951	29.977148	欢乐世界
